STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT04,WT05,WT08,WT09
USW00025333,"SITKA AIRPORT, AK US",2021/1/1,8.72,411,0.01,42,44,40,110,110,21,28,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/2,7.61,421,0.07,39.5,44,35,110,100,23,25.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/3,6.71,1506,0.29,39.5,43,36,230,220,23.9,29.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/4,15.88,440,0.25,42,45,39,110,90,31.1,42.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/5,19.24,1321,0.57,42.5,45,40,170,190,45,65.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/6,12.97,955,0.24,41.5,44,39,110,190,21,30,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/7,19.24,711,0.07,45,48,42,110,130,33.1,44.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/8,10.74,1520,0.32,42.5,48,37,290,290,29.1,35.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/9,19.01,1354,0,42,46,38,110,120,33.1,45,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/10,16.55,155,0.76,43.5,46,41,120,110,33.1,42.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/11,12.08,439,0.37,41,44,38,190,190,23,35.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/12,13.42,1037,0.46,39,44,34,220,230,36,45,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/13,6.93,623,0.89,36.5,39,34,90,130,14.1,16.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/14,20.58,1630,0.53,42,47,37,100,90,36,50.1,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/15,14.76,418,0.79,44.5,48,41,170,170,36,47,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/16,17.22,1406,0.31,44.5,47,42,110,110,32,42.9,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/17,9.62,517,0.46,42.5,46,39,220,220,23,32,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/18,17.22,1610,1.5,44.5,48,41,150,160,36.9,51,,,,,,
USW00025333,"SITKA AIRPORT, AK US",2021/1/19,11.63,205,0.29,39,42,36,260,260,31.1,42.9,,,,,1,
